Время;Температура охлаждающей жидкости (°C);Соотношение воздух/топливо;Положение дроссельной заслонки (%);Обороты двигателя (об/мин);Обороты холостого хода (об/мин);Желаемое положение регулятора холостого хода (шаг);Текущее положение регулятора ХХ (шаг);Коэффициент коррекции длительности впрыска топлива;Угол опережения зажигания (°ПКВ);Скорость автомобиля (км\ч);Напряжение бортсети (В);Желаемые обороты холостого хода (об\мин);Напряжение на датчике кислорода (В);Длительность импульса впрыска (мсек);Массовый расход воздуха (кг\ч);Цикловой расход воздуха (мг\такт);Часовой расход топлива (л\час);Путевой расход топлива (л\100км);Контрольная сумма ПЗУ (hех);Флаг готовности датчика кислорода;Флаг разрешения нагрева датчика кислорода;Флаг комплектации датчиком кислорода;Флаг комплектации адсорбером;Флаг комплектации клапаном рециркуляции;Флаг комплектации датчиком температуры воздуха;Флаг комплектации датчиком детонации;Флаг комплектации датчиком фазы;Флаг запрещения отсечки топлива;Флаг разрешения адаптации уставки холостого хода;Флаг комплектации потенциометром корректировки СО;Флаг разрешения адаптации нуля дросселя;Флаг разрешения асинхронной подачи топлива на пуске;Флаг разрешения постоянного хранения ошибок;Флаг комплектации датчиком скорости автомобиля;Флаг разрешения одновременного впрыска;Флаг разрешения асинхронного впрыска при ускорении;Флаг выключения двигателя;Флаг холостого хода;Флаг обогащения по мощности;Флаг блокировки подачи топлива;Флаг зоны регулирования по датчику кислорода;Флаг попадания в зону детонации;Флаг продувки адсорбера;Флаг сохранения результатов обучения по датчику кислорода;Флаг наличия холостого хода в прошлом цикле вычислений;Флаг разрешения блокировки выхода из режима холостого хода;Флаг попадания в зону детонации в прошлом цикле вычислений;Флаг продувки адсорбера в прошлом цикле вычислений;Флаг Обнаружена детонация;Флаг прошлого состояния датчика кислорода;Флаг текущего состояния датчика кислорода;Флаг Ошибка датчика синхронизации КВ;Флаг ошибка EEPROM;Флаг Ошибка нагревателя датчика кислорода;Флаг Ошибка датчика фазы;Флаг ошибка сброса процесора;Флаг ошибка ОЗУ;Флаг ошибка ПЗУ;Флаг Низкое бортовое напряжение;Флаг Низкий уровень сигнала с датчика температуры охлаждающей жидкости;Флаг Низкий уровень сигнала с кислородного датчика;Флаг Низкий уровень сигнала датчика положения дроссельной заслонки;Флаг Низкий уровень сигнала датчика массового расхода воздуха;Флаг Низкий уровень шума двигателя;Флаг Высокое бортовое напряжение;Флаг Высокий уровень сигнала с кислородного датчика;Флаг Высокий уровень сигнала с датчика температуры охлаждающей жидкости;Флаг Высокий уровень сигнала датчика положения дроссельной заслонки;Флаг Высокий уровень сигнала датчика массового расхода воздуха;Флаг Высокий уровень шума двигателя;Флаг Обрыв датчика детонации;Флаг Нет связи с иммобилайзером;Флаг Нет активности датчика кислорода;Флаг Нет отклика датчика кислорода при обеднении;Флаг Нет отклика датчика кислорода при обогащении;Флаг Ошибка датчика скорости;Флаг Ошибка регулятора холостого хода;АЦП канала датчика детонации (В);АЦП Датчик температуры охлаждающей жидкости (В);АЦП Датчик массового расхода воздуха (В);АЦП Бортовое напряжение (В);АЦП Датчик кислорода (В);АЦП Датчик положения дроссельной заслонки (В);Время (сек)
20.74;76;14.июн;0;1360;1340;35;35;1;15;44;13.85;900;0;0;10.фев;66.7;0;0;0;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;401.2
20.75;76;14.июн;0;1320;1330;35;35;1;15;43;13.85;900;0;0;11;67.8;0;0;0;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;401.4
20.76;76;14.июн;0;1320;1320;35;35;1;15;43;13.85;900;0;0;11;69.5;0;0;0;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;401.5
20.77;76;14.июн;0;1320;1320;35;35;1;15;43;13.85;900;0;0;11;69.5;0;0;0;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;401.8
20.78;76;14.июн;0;1320;1320;35;35;1;15;43;13.85;900;0;0;11;69.5;0;0;0;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;401.9
20.79;76;14.июн;0;1320;1320;35;35;1;15;43;13.85;900;0;0;11;69.5;0;0;0;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;402.4
20.авг;76;14.июн;0;1240;1250;35;35;1;15;41;13.85;900;0;0;11.фев;72.7;0;0;0;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;402.5
20.81;76;14;0;1080;1070;38;38;1;33;41;13.85;900;0;3.176;11.июн;79;0.94;02.мар;1;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;402.7
20.82;76;14;0;1000;990;40;40;1;33;41;13.95;900;0;3.424;12;88.5;0.98;фев.39;1;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;402.8
20.83;76;14;0;1040;1060;38;38;1;24;41;13.95;900;0;3.632;12.фев;94.5;01.авг;фев.66;1;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;402.9
20.84;76;14;0;1120;1110;38;38;1;22;41;13.85;900;0;3.432;11.янв;89.7;01.янв;02.июл;1;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;403.1
20.85;76;14;0;1120;1110;38;38;1;22;41;13.85;900;0;3.432;11.янв;89.7;01.янв;02.июл;1;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;403.4
20.86;76;14;0;1120;1110;38;38;1;22;41;13.85;900;0;3.432;11.янв;89.7;01.янв;02.июл;1;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;403.5
20.87;76;14;0;1120;1110;38;38;1;22;41;13.85;900;0;3.432;11.янв;89.7;01.янв;02.июл;1;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;404
20.88;76;14;0;1800;1800;33;33;1;15.май;39;13.85;900;0.586;02.фев;10.фев;53;01.апр;02.июл;1;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;404.1
20.89;76;14;0;1760;1760;35;35;1;14.май;39;13.85;900;0.684;2.272;11.авг;55.2;01.июн;фев.75;1;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;404.2
20.сен;76;14;0;1720;1730;36;36;1;14.май;38;13.85;900;0.723;фев.36;12.фев;57.8;01.янв;фев.92;1;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;404.4
20.91;76;14;0;1760;1740;37;37;1;14.май;38;13.85;900;0.703;2.456;12.авг;61.2;янв.18;03.ноя;1;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;404.5
20.92;76;14;0;1720;1730;38;38;1;14.май;38;13.85;900;0.098;2.624;14.янв;65.8;янв.24;03.мар;1;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;404.7
20.93;76;14;1;1680;1690;40;40;1;19;38;13.85;900;0.02;3.648;15;70.2;01.мар;мар.45;1;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;404.8
20.94;76;14;2;1760;1770;41;41;1;29.май;38;13.85;900;0.02;3.024;15.май;76.7;янв.48;мар.92;1;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;404.9
20.95;76;14;1;1680;1700;42;42;01.янв;28.май;38;13.85;900;0;3.136;16.май;81.5;янв.52;04.фев;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;405.1
20.96;76;14;2;1680;1670;43;43;01.янв;28.май;38;13.85;900;0.625;мар.32;16.авг;86.7;янв.62;апр.26;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;405.2
20.97;76;14;2;1760;1740;44;44;1;29.май;38;13.85;900;0.82;3.376;17.сен;88.7;янв.72;апр.55;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;405.4
20.98;76;14;2;1760;1740;44;44;1;29.май;38;13.85;900;0.82;3.376;17.сен;88.7;янв.72;апр.55;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;405.7
20.99;76;14;2;1760;1740;44;44;1;29.май;38;13.85;900;0.82;3.376;17.сен;88.7;янв.72;апр.55;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;405.8
21;76;14;2;1760;1740;44;44;1;29.май;38;13.85;900;0.82;3.376;17.сен;88.7;янв.72;апр.55;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;406.3
21.янв;76;14.янв;2;1720;1710;46;46;0.98;29;37;13.85;900;0.781;3.328;17.янв;90;янв.64;апр.48;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;406.4
21.фев;76;14.янв;1;1680;1700;46;46;0.98;28.май;38;13.85;900;0.781;мар.32;16.апр;89.8;янв.62;апр.26;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;406.5
21.мар;76;14.янв;1;1720;1710;46;46;0.98;29.май;38;13.85;900;0.801;мар.32;16.сен;89.7;янв.64;апр.35;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;406.7
21.апр;76;14.янв;1;1720;1710;45;45;0.97;29.май;37;13.85;900;0.84;3.264;16.май;88.8;янв.62;апр.42;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;406.8
21.май;76;14.янв;1;1680;1700;45;45;0.97;23;37;13.85;900;0.84;4.016;15.сен;84.8;янв.52;апр.13;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;407
21.июн;76;14.янв;1;1720;1710;45;45;0.96;29.май;37;13.85;900;0.82;мар.16;15.июл;83.7;янв.52;апр.13;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;407.1
21.июл;76;14.янв;0;1640;1650;44;44;0.96;15;37;13.85;900;0.781;4.536;14.сен;80.5;янв.38;мар.73;1;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;407.2
21.авг;76;14.янв;0;1720;1730;43;43;0.96;14.май;37;13.85;900;0.82;фев.96;14.июн;79.7;янв.42;мар.88;1;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;407.4
21.сен;76;14.янв;0;1720;1700;43;43;0.95;14.май;37;13.85;900;0.84;2.768;14.июл;74.5;янв.34;мар.64;1;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;407.5
21.янв;76;14.янв;0;1600;1600;42;42;0.95;14.май;37;13.85;900;0.84;фев.84;14.июн;76.8;янв.28;мар.49;1;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;407.7
21.ноя;76;14.янв;0;1680;1700;41;41;0.95;14.май;37;13.85;900;0.82;2.768;14.янв;75;01.мар;мар.54;1;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;407.8
21.дек;76;14.янв;1;1600;1600;41;41;0.95;18.май;37;13.85;900;0.762;4.848;14.авг;76.2;янв.24;мар.39;1;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;407.9
21.13;76;14.янв;2;1720;1730;42;42;0.95;28;37;13.85;900;0.742;3.088;16.янв;80.7;янв.42;мар.88;1;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;408.1
21.14;76;14.янв;2;1600;1610;43;43;0.94;27.май;37;13.85;900;0.371;3.136;17.мар;87.3;01.апр;мар.84;1;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;408.2
21.15;76;14.янв;1;1680;1690;43;43;0.95;28.май;37;13.85;900;0.352;3.312;16.сен;92.5;янв.62;апр.38;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;408.4
21.16;76;14.янв;1;1680;1690;43;43;0.95;28.май;37;13.85;900;0.352;3.312;16.сен;92.5;янв.62;апр.38;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;408.6
21.17;76;14.янв;1;1680;1690;43;43;0.95;28.май;37;13.85;900;0.352;3.312;16.сен;92.5;янв.62;апр.38;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;408.7
21.18;76;14.янв;1;1680;1690;43;43;0.95;28.май;37;13.85;900;0.352;3.312;16.сен;92.5;янв.62;апр.38;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;409.2
21.19;76;14.янв;2;1640;1650;46;46;0.92;28;36;13.85;900;0.82;3.632;19;104.8;янв.74;апр.85;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;409.4
21.фев;76;14.янв;2;1640;1650;46;46;0.92;28;36;13.85;900;0.781;3.672;19.фев;106.2;янв.76;04.сен;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;409.5
21.21;76;14.янв;1;1640;1630;46;46;0.91;28;36;13.85;900;0.586;мар.64;19.мар;105.8;янв.74;апр.85;2;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;нет;да;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;янв.33;13.636;фев.19;0.59;409.7
